Number,Town,Taxpayers,Tax,Rural,Problem,Group,Rank,Log_Taxpayers,Log_Tax,Log_Rank,GroupN
28,Beccles,307,74,0,0,1,36,5.726847748,4.304065093,3.583518938,No Issues
29,Chichester,301,63,0,0,1,37,5.707110265,4.143134726,3.610917913,No Issues
30,Wymondham,287,45,0,0,1,42,5.659482216,3.80666249,3.737669618,No Issues
31,Basingstoke,284,67,0,0,1,44,5.648974238,4.204692619,3.784189634,No Issues
32,Windsor,267,94,0,0,1,46,5.587248658,4.543294782,3.828641396,No Issues
33,Alton,260,55,0,0,1,48,5.560681631,4.007333185,3.871201011,No Issues
34,Barking ,256,66,0,0,1,49,5.545177444,4.189654742,3.891820298,No Issues
35,Wisbech,252,44,0,0,1,50,5.529429088,3.784189634,3.912023005,No Issues
36,Ottery St Mary,250,79,0,0,1,51,5.521460918,4.369447852,3.931825633,No Issues
37,Spalding ,250,39,0,0,1,52,5.521460918,3.663561646,3.951243719,No Issues
38,Kingston-on-Thames,249,62,0,0,1,53,5.517452896,4.127134385,3.970291914,No Issues
39,Stamford,247,100,0,0,1,54,5.509388337,4.605170186,3.988984047,No Issues
40,Cullompton,245,60,0,0,1,55,5.501258211,4.094344562,4.007333185,No Issues
41,Marlborough,237,85,0,0,1,56,5.468060141,4.442651256,4.025351691,No Issues
42,Colyton,236,63,0,0,1,57,5.463831805,4.143134726,4.043051268,No Issues
43,Dunwich,235,40,0,0,1,58,5.459585514,3.688879454,4.060443011,No Issues
44,Walsingham,232,58,0,0,1,59,5.446737372,4.060443011,4.077537444,No Issues
45,Aylsham,231,34,0,0,1,61,5.442417711,3.526360525,4.110873864,No Issues
46,Sudbury,231,61,0,0,1,62,5.442417711,4.110873864,4.127134385,No Issues
47,Barnstaple,230,38,0,0,1,63,5.438079309,3.63758616,4.143134726,No Issues
48,Totnes,220,144,0,0,1,65,5.393627546,4.9698133,4.17438727,No Issues
49,Shaftesbury,213,60,0,0,1,66,5.361292166,4.094344562,4.189654742,No Issues
50,Bath,212,45,0,0,1,67,5.356586275,3.80666249,4.204692619,No Issues
51,Peterborough,212,44,0,0,1,68,5.356586275,3.784189634,4.219507705,No Issues
52,Glastonbury,209,42,0,0,1,69,5.342334252,3.737669618,4.234106505,No Issues
53,Ramsey,209,28,0,0,1,70,5.342334252,3.33220451,4.248495242,No Issues
54,Lewes,207,43,0,0,1,71,5.332718793,3.761200116,4.262679877,No Issues
55,Aylesbury,202,37,0,0,1,72,5.308267697,3.610917913,4.276666119,No Issues
56,York,871,230,0,1,3,4,6.769641977,5.438079309,1.386294361,Problematic Returns
57,Gloucester,466,134,0,1,3,23,6.144185634,4.8978398,3.135494216,Problematic Returns
58,Rochester,437,59,0,1,3,25,6.079933195,4.077537444,3.218875825,Problematic Returns
59,Ely,382,69,0,1,3,31,5.945420609,4.234106505,3.433987204,Problematic Returns
60,Lynn,320,302,0,1,3,33,5.768320996,5.710427017,3.496507561,Problematic Returns
61,Taunton,300,86,0,1,3,38,5.703782475,4.454347296,3.63758616,Problematic Returns
62,Boston,295,111,0,1,3,39,5.686975356,4.709530201,3.663561646,Problematic Returns
63,Nottingham,295,56,0,1,3,40,5.686975356,4.025351691,3.688879454,Problematic Returns
64,Bodmin,285,37,0,1,3,43,5.65248918,3.610917913,3.761200116,Problematic Returns
